curie,label,group,in_old,new_term,reparented,rel_added,rel_removed,def_changed,syn_added,depth_new,depth_old,obsoleted
HP:0000010,Recurrent urinary tract infections,Infections,True,False,True,1,1,False,0,4.0,4.0,False
HP:0000024,Prostatitis,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000031,Epididymitis,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000099,Glomerulonephritis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000123,Nephritis,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000166,Severe periodontitis,Infections,True,False,True,1,1,True,3,6.0,5.0,False
HP:0000230,Gingivitis,Infections,True,False,True,1,0,True,1,5.0,,False
HP:0000246,Sinusitis,Infections,True,False,True,1,0,False,0,4.0,4.0,False
HP:0000255,Acute sinusitis,Infections,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000371,Acute otitis media,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000388,Otitis media,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000389,Chronic otitis media,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000403,Recurrent otitis media,Infections,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000491,Keratitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000498,Blepharitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000509,Conjunctivitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000554,Uveitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000704,Periodontitis,Other immune,True,False,False,0,0,False,1,4.0,4.0,False
HP:0000777,Abnormal thymus morphology,Other immune,True,False,False,0,0,False,0,2.0,2.0,False
HP:0000778,Hypoplasia of the thymus,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0000793,Membranoproliferative glomerulonephritis,Other immune,True,False,False,0,0,False,0,6.0,6.0,False
HP:0000872,Hashimoto thyroiditis,Other immune,True,False,False,0,0,False,0,3.0,3.0,False
HP:0000964,Eczematoid dermatitis,Other immune,True,False,False,0,0,False,1,5.0,5.0,False
HP:0000988,Skin rash,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0000999,Pyoderma,Infections,True,False,False,0,0,False,0,6.0,6.0,False
HP:0001019,Erythroderma,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001047,Atopic dermatitis,Other immune,True,False,False,0,0,False,0,6.0,6.0,False
HP:0001051,Seborrheic dermatitis,Other immune,True,False,False,0,0,False,0,6.0,6.0,False
HP:0001055,Erysipelas,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001061,Acne,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001082,Cholecystitis,Infections,True,False,True,1,0,False,2,5.0,,False
HP:0001094,Iridocyclitis,Other immune,True,False,False,0,0,False,0,7.0,7.0,False
HP:0001096,Keratoconjunctivitis,Other immune,True,False,False,0,0,False,0,6.0,6.0,False
HP:0001097,Keratoconjunctivitis sicca,Other immune,True,False,False,0,0,False,0,7.0,7.0,False
HP:0001287,Meningitis,Infections,True,False,False,0,0,False,2,5.0,5.0,False
HP:0001412,Enteroviral hepatitis,Infections,True,False,False,0,0,False,0,8.0,6.0,False
HP:0001433,Hepatosplenomegaly,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001581,Recurrent skin infections,Infections,True,False,True,1,1,False,1,5.0,5.0,False
HP:0001701,Pericarditis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001733,Pancreatitis,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0001735,Acute pancreatitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001743,Abnormality of the spleen,Other immune,True,False,False,0,0,False,0,2.0,2.0,False
HP:0001744,Splenomegaly,Other immune,True,False,False,0,0,False,1,4.0,4.0,False
HP:0001746,Asplenia,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001747,Accessory spleen,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001748,Polysplenia,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001874,Abnormality of neutrophils,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,6.0,6.0,False
HP:0001875,Decreased total neutrophil count,"Flow cytometry /
immunophenotyping",True,False,False,0,0,True,1,7.0,7.0,False
HP:0001879,Abnormal eosinophil morphology,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,6.0,6.0,False
HP:0001880,Increased total eosinophil count,"Flow cytometry /
immunophenotyping",True,False,True,0,1,False,2,7.0,6.0,False
HP:0001881,Abnormal leukocyte morphology,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,3.0,3.0,False
HP:0001882,Decreased total leukocyte count,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,1,5.0,5.0,False
HP:0001886,Foot osteomyelitis,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0001888,Decreased total lymphocyte count,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,1,6.0,6.0,False
HP:0001890,Autoimmune hemolytic anemia,Other immune,True,False,True,1,1,False,0,4.0,3.0,False
HP:0001904,Autoimmune neutropenia,"Flow cytometry /
immunophenotyping",True,False,True,1,1,True,1,4.0,3.0,False
HP:0001909,Leukemia,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,4.0,4.0,False
HP:0001911,Abnormal granulocyte morphology,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,5.0,5.0,False
HP:0001912,Abnormal basophil morphology,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,6.0,6.0,False
HP:0001913,Decreased total granulocyte count,"Flow cytometry /
immunophenotyping",True,False,False,0,0,True,1,6.0,6.0,False
HP:0001922,Vacuolated lymphocytes,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,5.0,5.0,False
HP:0001971,Hypersplenism,Other immune,True,False,False,0,0,False,0,4.0,4.0,False
HP:0001973,Autoimmune thrombocytopenia,Other immune,True,False,True,1,1,False,0,4.0,3.0,False
HP:0001974,Increased total leukocyte count,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,1,5.0,5.0,False
HP:0001982,Sea-blue histiocytosis,"Flow cytometry /
immunophenotyping",True,False,False,0,0,False,0,6.0,6.0,False
HP:0001983,Reduced lymphocyte surface expression of CD43,Other immune,True,False,False,0,0,False,0,3.0,3.0,False
HP:0002037,Inflammation of the large intestine,Other immune,True,False,False,0,0,False,0,5.0,5.0,False
HP:0002090,Pneumonia,Infections,True,False,True,1,1,False,0,4.0,4.0,False
